Country,Continent,Rank,Ladder_score,Logged_gdp_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Regime,Government
Saudi Arabia,Asia,30,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,No Authoritarian,Male
Estonia,Europe,31,6.455,10.541,0.946,69.65,0.929,0.032,0.409,No Authoritarian,Male
Spain,Europe,32,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,No Authoritarian,Female
Italy,Europe,33,6.405,10.634,0.882,72.05,0.711,-0.074,0.842,No Authoritarian,Male
Kosovo,Unknown,34,6.368,9.359,0.844,65.195,0.861,0.259,0.866,No Authoritarian,Male
Chile,South America,35,6.334,10.114,0.889,70.3,0.792,-0.011,0.823,No Authoritarian,Female
Mexico,North America,36,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,No Authoritarian,Male
Malta,Europe,37,6.3,10.661,0.923,71.6,0.886,0.119,0.729,No Authoritarian,Male
Panama,North America,38,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,No Authoritarian,Male
Poland,Europe,39,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,No Authoritarian,Male
Nicaragua,North America,40,6.259,8.618,0.853,65.65,0.877,0.021,0.625,Authoritarian,Female
Latvia,Europe,41,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,No Authoritarian,Male
Bahrain,Asia,42,6.173,10.776,0.844,65.825,0.944,0.117,0.737,No Authoritarian,Male
Guatemala,North America,43,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,No Authoritarian,Male
Kazakhstan,Asia,44,6.144,10.166,0.931,65.802,0.853,0.0,0.721,No Authoritarian,Male
Serbia,Europe,45,6.144,9.854,0.873,67.088,0.845,0.204,0.816,No Authoritarian,Male
Cyprus,Asia,46,6.13,10.611,0.826,72.802,0.724,-0.06,0.86,No Authoritarian,Male
Japan,Asia,47,6.129,10.616,0.894,74.349,0.799,-0.237,0.64,No Authoritarian,Male
Croatia,Europe,48,6.125,10.341,0.917,68.95,0.757,-0.093,0.925,No Authoritarian,Male
Brazil,South America,49,6.125,9.582,0.836,65.749,0.801,-0.009,0.738,No Authoritarian,Male
El Salvador,North America,50,6.122,9.089,0.755,65.597,0.918,-0.108,0.62,No Authoritarian,Male
Hungary,Europe,51,6.041,10.419,0.943,67.5,0.758,-0.059,0.839,No Authoritarian,Male
Argentina,South America,52,6.024,9.959,0.891,67.2,0.823,-0.089,0.814,No Authoritarian,Male
Honduras,North America,53,6.023,8.635,0.766,64.063,0.843,0.097,0.843,No Authoritarian,Male
Uzbekistan,Asia,54,6.014,8.948,0.875,65.301,0.938,0.23,0.638,No Authoritarian,Male
Malaysia,Asia,55,6.012,10.169,0.799,65.662,0.877,0.16,0.758,No Authoritarian,Male
Portugal,Europe,56,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,No Authoritarian,Male
South Korea,Asia,57,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,No Authoritarian,Male
Greece,Europe,58,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,No Authoritarian,Male
Mauritius,Africa,59,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,No Authoritarian,Male
Thailand,Asia,60,5.843,9.751,0.874,68.45,0.85,0.289,0.91,No Authoritarian,Male
Mongolia,Asia,61,5.84,9.372,0.933,60.5,0.701,0.19,0.849,No Authoritarian,Male
Kyrgyzstan,Asia,62,5.825,8.486,0.911,66.852,0.934,0.181,0.904,No Authoritarian,Male
Moldova,Europe,63,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,No Authoritarian,Male
China,Asia,64,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,Authoritarian,Male
Vietnam,Asia,65,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,Authoritarian,Male
Paraguay,South America,66,5.738,9.51,0.906,65.9,0.891,0.021,0.843,No Authoritarian,Male
Montenegro,Europe,67,5.722,9.813,0.89,67.1,0.805,0.063,0.844,No Authoritarian,Male
Jamaica,North America,68,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,No Authoritarian,Male
Bolivia,South America,69,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,No Authoritarian,Male
Russia,Europe,70,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,No Authoritarian,Male
Bosnia And Herzegowina,Unknown,71,5.633,9.616,0.88,67.275,0.746,0.206,0.918,No Authoritarian,Male
Colombia,South America,72,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,No Authoritarian,Female
Dominican Republic,North America,73,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,No Authoritarian,Male
Ecuador,South America,74,5.559,9.27,0.806,69.0,0.802,-0.108,0.833,No Authoritarian,Male
Peru,South America,75,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,No Authoritarian,Male
Philippines,Asia,76,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,No Authoritarian,Male
Bulgaria,Europe,77,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,No Authoritarian,Male
Nepal,Asia,78,5.36,8.256,0.748,61.847,0.808,0.146,0.783,No Authoritarian,Male
Armenia,Asia,79,5.342,9.615,0.79,67.789,0.796,-0.155,0.705,No Authoritarian,Male
Tajikistan,Asia,80,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,No Authoritarian,Male
Algeria,Africa,81,5.329,9.3,0.855,66.549,0.571,-0.117,0.717,No Authoritarian,Male
Hong Kong,Unknown,82,5.308,10.966,0.817,77.28,0.687,-0.026,0.385,No Authoritarian,Male
Albania,Europe,83,5.277,9.567,0.718,69.15,0.794,-0.007,0.878,No Authoritarian,Female
Indonesia,Asia,84,5.277,9.385,0.804,63.048,0.88,0.531,0.876,No Authoritarian,Male
South Africa,Africa,85,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,No Authoritarian,Male
Congo,Unknown,86,5.267,8.095,0.605,56.85,0.73,-0.004,0.739,Authoritarian,Male
North Macedonia,Europe,87,5.254,9.703,0.805,66.5,0.769,0.131,0.902,No Authoritarian,Male
Venezuela,South America,88,5.211,5.527,0.839,64.05,0.659,0.128,0.811,Authoritarian,Male
Laos,Asia,89,5.111,8.962,0.679,60.946,0.919,0.091,0.703,Authoritarian,Male
Georgia,Asia,90,5.109,9.646,0.716,64.95,0.786,-0.254,0.649,No Authoritarian,Male
Guinea,Africa,91,5.072,7.88,0.649,54.185,0.659,0.125,0.787,Authoritarian,Male
Ukraine,Europe,92,5.071,9.314,0.878,64.55,0.795,0.24,0.907,No Authoritarian,Male
Ivory Coast,Africa,93,5.053,8.576,0.572,55.953,0.733,0.003,0.746,No Authoritarian,Male
Gabon,Africa,94,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,No Authoritarian,Male
Nigeria,Africa,95,4.981,8.496,0.74,54.891,0.718,0.073,0.911,No Authoritarian,Male
Cameroon,Africa,96,4.973,8.217,0.686,55.847,0.686,0.015,0.846,No Authoritarian,Male
Mozambique,Africa,97,4.954,7.116,0.692,51.53,0.851,0.047,0.66,Authoritarian,Female
Iraq,Asia,98,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,No Authoritarian,Male
Palestine,Unknown,99,4.908,8.716,0.859,60.215,0.694,-0.132,0.836,No Authoritarian,Male
Morocco,Africa,100,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,No Authoritarian,Male
Iran,Asia,101,4.876,9.61,0.778,66.6,0.593,0.173,0.747,No Authoritarian,Male
Senegal,Africa,102,4.855,8.155,0.629,59.999,0.772,0.011,0.846,No Authoritarian,Male
Mauritania,Africa,103,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,Authoritarian,Male
Burkina Faso,Africa,104,4.638,7.667,0.663,55.461,0.696,0.095,0.771,No Authoritarian,Male
Namibia,Africa,105,4.631,9.121,0.787,56.851,0.669,-0.126,0.83,No Authoritarian,Male
Turkey,Unknown,106,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,No Authoritarian,Male
Ghana,Africa,107,4.605,8.596,0.641,58.763,0.777,0.139,0.881,No Authoritarian,Male
Pakistan,Asia,108,4.555,8.54,0.601,57.313,0.766,0.008,0.787,No Authoritarian,Male
Niger,Africa,109,4.501,7.091,0.59,56.55,0.788,0.032,0.734,No Authoritarian,Male
Tunisia,Africa,110,4.497,9.244,0.73,67.0,0.576,-0.213,0.907,No Authoritarian,Male
Kenya,Africa,111,4.487,8.458,0.69,58.499,0.696,0.288,0.852,No Authoritarian,Male
Sri Lanka,Asia,112,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,No Authoritarian,Male
Uganda,Africa,113,4.432,7.716,0.794,58.913,0.701,0.114,0.857,No Authoritarian,Male
Chad,Africa,114,4.397,7.261,0.722,53.125,0.677,0.221,0.807,Authoritarian,Male
Cambodia,Asia,115,4.393,8.385,0.747,61.9,0.958,0.073,0.857,No Authoritarian,Male
Benin,Africa,116,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,No Authoritarian,Male
Myanmar,Asia,117,4.372,8.404,0.787,61.388,0.727,0.491,0.658,Authoritarian,Male
Bangladesh,Asia,118,4.282,8.685,0.544,64.548,0.845,0.005,0.698,No Authoritarian,Male
Gambia,Africa,119,4.279,7.648,0.584,57.9,0.596,0.364,0.883,No Authoritarian,Male
Mali,Africa,120,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,Authoritarian,Male
Egypt,Africa,121,4.17,9.367,0.726,63.503,0.732,-0.183,0.58,No Authoritarian,Male
Togo,Africa,122,4.137,7.673,0.595,57.449,0.657,0.024,0.74,Authoritarian,Male
Jordan,Asia,123,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,No Authoritarian,Male
Ethiopia,Africa,124,4.091,7.739,0.782,60.698,0.72,0.273,0.789,No Authoritarian,Male
Liberia,Africa,125,4.042,7.277,0.596,56.7,0.735,0.154,0.83,No Authoritarian,Male
India,Asia,126,4.036,8.759,0.608,60.777,0.897,0.072,0.774,No Authoritarian,Male
Madagascar,Africa,127,4.019,7.29,0.65,58.05,0.522,0.075,0.742,No Authoritarian,Male
Zambia,Africa,128,3.982,8.074,0.694,55.032,0.791,0.098,0.818,No Authoritarian,Male
Tanzania,Africa,129,3.694,7.857,0.653,59.401,0.838,0.182,0.554,No Authoritarian,Male
Comoros,Africa,130,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,No Authoritarian,Male
Malawi,Africa,131,3.495,7.302,0.531,58.475,0.75,0.005,0.749,No Authoritarian,Male
Botswana,Africa,132,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,No Authoritarian,Male
Congo,Unknown,133,3.207,7.007,0.652,55.375,0.664,0.086,0.834,Authoritarian,Male
Zimbabwe,Africa,134,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,No Authoritarian,Male
Sierra Leone,Africa,135,3.138,7.394,0.555,54.9,0.66,0.105,0.858,No Authoritarian,Male
Lebanon,Asia,136,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,No Authoritarian,Male
Afghanistan,Asia,137,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,No Authoritarian,Male
